id,image_url,permalink
1,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/not-the-same-person.jpg,https://www.snopes.com/fact-check/teenage-daughter-shirt-pregnant/
2,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/not-maria-butina.jpg,https://www.snopes.com/fact-check/accused-russian-spy-mariia-butina-photographed-oval-office/
4,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/bear-photoshop.jpg,https://www.snopes.com/fact-check/bear-attack-photo/
5,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/cow-crusher-maybe.jpg,https://www.snopes.com/fact-check/image-of-cow-crusher-device/
6,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/melting-cars.jpg,https://www.snopes.com/fact-check/cars-melting-in-arizona-heat-wave/
7,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/car-crashes.jpg,https://www.snopes.com/fact-check/video-8-supernatural-car-crashes/
8,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/optical-illusion-hallway.jpg,https://www.snopes.com/fact-check/hallway-stop-running/
9,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/Gareth-Southgate.jpg,https://www.snopes.com/fact-check/gareth-southgate-waistcoat/
10,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/octopus-fallen-from-the-sky.jpg,https://www.snopes.com/fact-check/octopus-fall-sky-china/
11,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/denver-protest.jpg,https://www.snopes.com/fact-check/girls-trump-tshirts-rally/
12,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/sugar-free-sugar.jpg,https://www.snopes.com/fact-check/sugar-free-sugar/
13,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/15107458_1164401370261562_5653070303901265587_n.jpg,https://www.snopes.com/fact-check/trump-protesters-assassinate-republicans/
14,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/basil-karlo.jpg,https://www.snopes.com/fact-check/was-child-expelled-trump-costume/
15,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/remote-alligator.jpg,https://www.snopes.com/fact-check/did-man-save-friend-from-reptilian-attack/
16,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-america.png,https://www.snopes.com/fact-check/are-these-women-protesting-trump/
17,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-king-of-the-netherlands.jpg,https://www.snopes.com/fact-check/did-king-tell-trump-hague/
18,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/obama-cages.jpg,https://www.snopes.com/fact-check/obama-dont-separate-mommy-protest-sign-real/
19,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/i-dont-really-care-do-u.jpg,https://www.snopes.com/fact-check/melania-trump-wear-jacket-visiting-children-separated-families/
20,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/2014-obama-separated-kids.jpg,https://www.snopes.com/fact-check/are-these-children-separated-by-obama/
21,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/elian.png,https://www.snopes.com/fact-check/is-photograph-border-agents-separating-children/
22,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/drudge-report.jpg,https://www.snopes.com/fact-check/gun-toting-children-photographed-united-states-border/
23,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/lake-kawagauchi.jpg,https://www.snopes.com/fact-check/is-this-lake-kawaguchi/
24,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/live-wax-figures.jpg,https://www.snopes.com/fact-check/meghan-harry-royal-robots/
27,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/35050666_2064282013614545_1849759388374401024_n.jpg,https://www.snopes.com/fact-check/toddler-cage-photo/
28,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/charlie-chaplin-collage.jpg,https://www.snopes.com/fact-check/distracted-boyfriend-meme-come-real-movie/
29,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/immigrant-children-orange-jumpsuits.jpg,https://www.snopes.com/fact-check/are-children-orange-jumpsuits/
30,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/the-donald.jpg,https://www.snopes.com/fact-check/justin-trudeaus-eyebrow/
32,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/derrell-hudson.jpg,https://www.snopes.com/fact-check/was-texting-driver-found-clutching-phone/
33,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-starbucks-sign.jpg,https://www.snopes.com/fact-check/sign-starbucks-racial-bias-training-single-white-people/
35,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fake-photo.jpg,https://www.snopes.com/fact-check/is-this-alberto-approaching-pensacola-beach/
36,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/boned-rolled-pig-1.jpg,https://www.snopes.com/fact-check/did-stores-sell-boned-rolled-pig/
37,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kidsprison.jpg,https://www.snopes.com/fact-check/childrens-concentration-camp/
38,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fb-post.jpg,https://www.snopes.com/fact-check/did-woman-abandon-son/
40,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fake-martyrs-1.jpg,https://www.snopes.com/fact-check/martyrs-fake-death-video/
41,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/trafficjamfb.jpg,https://www.snopes.com/fact-check/german-fuel-protest-image/
42,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/plane-crash-1.jpg,https://www.snopes.com/fact-check/is-this-plane-crash-havana-cuba/
44,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/nikola-tesla.jpg,https://www.snopes.com/fact-check/nikola-tesla-swimming-instructor/
46,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/trump-fathers-day.jpg,https://www.snopes.com/fact-check/president-donald-trump-tweet-mothers-day-fathers/
47,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/tiny-toker-1.jpg,https://www.snopes.com/fact-check/did-fisher-price-release-tiny-toker/
48,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/blue-bow-trout.jpg,https://www.snopes.com/fact-check/blue-bow-trout-real/
51,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/toy-giant-hornet.jpg,https://www.snopes.com/fact-check/is-this-asian-giant-hornet/
52,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/rayban.jpg,https://www.snopes.com/fact-check/may-day-protests-kiss/
53,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/heineken-ad.jpg,https://www.snopes.com/fact-check/heineken-beer-ad-babies/
54,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/not-obama-bowing.jpg,https://www.snopes.com/fact-check/president-obama-bow-ayatollah-khamenei/
55,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/31437451_1694623843961056_9045261226293311056_n.jpg,https://www.snopes.com/fact-check/was-twelve-lb-rat-london/
56,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kansas-city.jpg,https://www.snopes.com/fact-check/does-welcome-sign-kansas-city-typo/
57,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/purple-horned-winged-lizard.jpg,https://www.snopes.com/fact-check/purple-horned-winged-lizard/
58,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/two-headed-shark.jpg,https://www.snopes.com/fact-check/two-headed-sharks-terrorizing-ocean/
60,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/A-set-of-images-show-a-congenital-anomaly-.jpg,https://www.snopes.com/fact-check/real-hand-eight-fingers/
61,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/Home_designed_to_resist_flood_waters.jpg,https://www.snopes.com/fact-check/last-house-standing-hurricane-exorcism/
62,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/god-of-war.jpg,https://www.snopes.com/fact-check/did-netflix-announce-god-of-war-series/
63,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/ObamaUSbordersign.jpg,https://www.snopes.com/fact-check/is-u-s-border-sign-free-stuff-real/
64,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/hearse.jpg,https://www.snopes.com/fact-check/was-hearse-towed-during-funeral/
65,https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/apocalyptic-sunset-over-moscow.jpg,https://www.snopes.com/fact-check/is-sunset-moscow-real/
66,https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/fetus_burial.jpg,https://www.snopes.com/fact-check/washing-aborted-fetuses/
67,https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/michelle-wolf-newspaper.jpg,https://www.snopes.com/fact-check/michelle-wolf-newspaper-arrest/
